"","de","en","es","fr","it","pt","ru","es-MX","pt-PT"
"COL.01-1.01","","I'm left-handed","","","","","","","",
"COL.01-1.02","","I should have
 had a brother","","","","","","","",
"COL.01-1.03","","He didn't have
the same luck","","","","","","","",
"COL.01-1.04","","Yeah","","","","","","","",
"COL.01-1.05","","I was a simple","","","","","","","",
"COL.01-1.06","","and Happy kid","","","","","","","",
"COL.01-1.07","","I just read
everything","","","","","","","",
"COL.01-1.08","","I was special","","","","","","","",
"COL.01-1.09","","College was a hard time","","","","","","","",
"COL.01-1.10","","I wasn't special anymore","","","","","","","",
"COL.01-1.11","","Just another one","","","","","","","",
"COL.01-1.12","","But I found someone there","","","","","","","",
"COL.01-1.13","","Someone that I thought that I loved","","","","","","","",
"COL.01-1.14","","I wanted to know how everything works","","","","","","","",
"COL.01-1.15","","how the world moves","","","","","","","",
"COL.01-2.01","","KLAUS
FINDS 
HIS FIRST MEMORY","","","","","","","",
"COL.01-2.02","","GO AHEAD, THERE'S NOTHING MORE TO SEE HERE","","","","","","","",
"COL.02-1.01","","Since that day I knew what I wanted to do with my life","","","","","","","",
"COL.02-1.02","","Avoid accidents
Men should not die in vain","","","","","","","",
"COL.02-1.03","","there was
an accident","","","","","","","",
"COL.02-1.04","","In my first day 
of work","","","","","","","",
"COL.02-1.05","","And find my way","","","","","","","",
"COL.02-1.06","","it wasn't the best one
but it paid enough","","","","","","","",
"COL.02-1.07","","I had to go 
somewhere else","","","","","","","",
"COL.02-1.08","","I was lost
My family was broke
","","","","","","","",
"COL.02-1.09","","I found a job in a construction company","","","","","","","",
"COL.02-1.10","","When I took that decision","","","","","","","",
"COL.02-1.11","","She was watching me","","","","","","","",
"COL.02-1.12","","I had to quit college
and she broke up with me","","","","","","","",
"COL.02-1.13","","Her name was Julia","","","","","","","",
"COL.02-1.14","","So I started thinking of solutions, like platforms","","","","","","","",
"COL.02-2.01","","KLAUS
FINDS 
HIS SECOND MEMORY","","","","","","","",
"COL.02-2.02","","GO AHEAD, THERE'S NOTHING MORE TO SEE HERE","","","","","","","",
"COL.03-1.01","","The company hated it","","","","","","","",
"COL.03-1.02","","They broke it into pieces","","","","","","","",
"COL.03-1.03","","It was an office robot
that can save us from
the repetitive 
office work","","","","","","","",
"COL.03-1.04","","THe idea was
a robot called
K-2000","","","","","","","",
"COL.03-1.05","","Helping each other
we rose in the company","","","","","","","",
"COL.03-1.06","","and we were about to show it","","","","","","","",
"COL.03-1.07","","We were a team","","","","","","","",
"COL.03-1.08","","Julia, she was my soulmate","","","","","","","",
"COL.03-1.09","","But we had bigger ambitions","","","","","","","",
"COL.03-1.10","","They fired us","","","","","","","",
"COL.03-1.11","","But that wasn't the last time","","","","","","","",
"COL.03-1.12","","That they heard from us","","","","","","","",
"COL.03-1.13","","We did some small genius jobs like
 implementing the platforms and 
adding a chasing scene 
to test patience and speed in the workers","","","","","","","",
"COL.03-2.01","","KLAUS
FINDS 
HIS THIRD MEMORY","","","","","","","",
"COL.03-2.02","","GO AHEAD, THERE'S NOTHING MORE TO SEE HERE","","","","","","","",
"COL.04-1.01","","But we wanted more","","","","","","","",
"COL.04-1.02","","We wanted the first
conscious robot","","","","","","","",
"COL.04-1.03","","I'm color blind
but no one told me
anything about the colors
because I was the boss","","","","","","","",
"COL.04-1.04","","We built
a building with
different colors","","","","","","","",
"COL.04-1.05","","And it worked","","","","","","","",
"COL.04-1.06","","All our hopes 
were in there","","","","","","","",
"COL.04-1.07","","We had a company","","","","","","","",
"COL.04-1.08","","It was a 
modest release","","","","","","","",
"COL.04-1.09","","We built it by our own hands","","","","","","","",
"COL.04-1.10","","It sold millions!","","","","","","","",
"COL.04-1.11","","But I found someone there","","","","","","","",
"COL.04-1.12","","Someone that I thought was unique","","","","","","","",
"COL.04-1.13","","We implemented the K-2000
in our own company, we preferred Isolation","","","","","","","",
"COL.04-2.01","","KLAUS
FINDS 
HIS FOURTH MEMORY","","","","","","","",
"COL.04-2.02","","GO AHEAD, THERE'S NOTHING MORE TO SEE HERE","","","","","","","",
"COL.05-1.01","","He was suffering and his rage started","","","","","","","",
"COL.05-1.02","","He broke everything around, smashing and hitting","","","","","","","",
"COL.05-1.03","","K1 started 
to transform","","","","","","","",
"COL.05-1.04","","Something went wrong.
A spark
K1 got overcharged.","","","","","","","",
"COL.05-1.05","","We were finished","","","","","","","",
"COL.05-1.06","","We doubted each other
we weren't the same","","","","","","","",
"COL.05-1.07","","We called it K1
and we plug it","","","","","","","",
"COL.05-1.08","","So much that set us apart","","","","","","","",
"COL.05-1.09","","We worked hard for it","","","","","","","",
"COL.05-1.10","","We gave everything that we had","","","","","","","",
"COL.05-1.11","","He hit his head and ran","","","","","","","",
"COL.05-1.12","","He destroyed everything","","","","","","","",
"COL.05-1.13","","Even her","","","","","","","",
"COL.05-1.14","","We work separately. 
I was teaching to the AI how to behave, 
she was more a mechanical person","","","","","","","",
"COL.05-1.15","","But we were far from each other. 
I was managing the company and 
being the BOSS","","","","","","","",
"COL.05-1.16","","I still can hear her scream at night","","","","","","","",
"COL.05-2.01","","KLAUS
FINDS 
HIS FIFTH MEMORY","","","","","","","",
"COL.05-2.02","","GO AHEAD, THERE'S NOTHING MORE TO SEE HERE","","","","","","","",
"COL.06-1.01","","What am I? What is Klaus?","","","","","","","",
"COL.06-1.02","","Is klaus myself or
 I'm klaus?





I don't know","","","","","","","",
"COL.06-1.03","","The years 
have passed and 
I don't recognize 
myself anymore","","","","","","","",
"COL.06-1.04","","But, 
does it matter?","","","","","","","",
"COL.06-1.05","","I made it","","","","","","","",
